BATCH_NAME|SEQUENCE_NUMERATOR|STEP_NAME|STEP_DESCRIPTION|STEP_TYPE|SECRET_NAME|TARGET_TABLE|STEP_INIT|STEP_MAIN|STEP_CLOSURE
PDML_PJ|1|RECUP_PROFILS|recuperation des profils|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_O_PRF_POM_PROF|exec PDY_PDML_TRVL_QLF.MD_T_O_PRF_POM_PROF;|exec PDY_PDML_TRVL_QLF.MI_T_O_PRF_POM_PROF(:dateDebut,:dateFin,:transactionDate);|exec PDY_PDML_TRVL_QLF.MC_T_O_PRF_POM_PROF;
PDML_IDA|1|TECH_PERIOD_DAY|Initialisation de la periode|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_TECH_PERIOD_DAY_LMM|exec PDY_PDML_TRVL_QLF.MD_T_TECH_PERIOD_DAY_LMM ;|exec PDY_PDML_TRVL_QLF.MI_T_TECH_PERIOD_DAY_LMM ( :dateDebut,   :dateFin, 3) ;|exec PDY_PDML_TRVL_QLF.MC_T_TECH_PERIOD_DAY_LMM ;
GRAD_DYN|1|T_GRAD_CALC_PUISS_DYN_SOUS_PROF|Calcul des puissance depuis les courbes et les coefficiant init|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_GRAD_CALC_PUISS_DYN_SOUS_PROF|exec PDY_PDML_TRVL_QLF.MD_T_GRAD_CALC_PUISS_DYN_SOUS_PROF;|exec PDY_PDML_TRVL_QLF.MI_T_GRAD_CALC_PUISS_DYN_SOUS_PROF( :dateDebut, :dateFin );|exec PDY_PDML_TRVL_QLF.MC_T_GRAD_CALC_PUISS_DYN_SOUS_PROF;
PDML_PJ|1|INIT_PARMETRES|Initialisation des parametres|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_PARAMETRAGE_IHM_AND_CODIFICATION|exec PDY_PDML_TRVL_QLF.MD_T_PARAMETRAGE_IHM_AND_CODIFICATION;|exec PDY_PDML_TRVL_QLF.MI_T_PARAMETRAGE_IHM_AND_CODIFICATION;|exec PDY_PDML_TRVL_QLF.MC_T_PARAMETRAGE_IHM_AND_CODIFICATION;
PDML_IDA|2|PAR_PLAGE_HC_PDYN|Mise a  jour des Plages HC|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_W_PAR_PLAGE_HC_PDYN|EXEC PDY_PDML_TRVL_QLF.MD_T_W_PAR_PLAGE_HC_PDYN ;|EXEC PDY_PDML_TRVL_QLF.MI_T_W_PAR_PLAGE_HC_PDYN ;|EXEC PDY_PDML_TRVL_QLF.MC_T_W_PAR_PLAGE_HC_PDYN ;
GRAD_DYN|2|T_GRAD_CALC_PUISS_DYN_PROF|Calcul des puissance aggrées au niveau profils|SQL|teradata-pdml-ihm|PDY_PDML_SOC_QLF.T_GRAD_CALC_PUISS_DYN_PROF|exec PDY_PDML_TRVL_QLF.MC_T_GRAD_CALC_PUISS_DYN_PROF;|exec PDY_PDML_TRVL_QLF.MI_T_GRAD_CALC_PUISS_DYN_PROF(:dateDebut, :dateFin);|exec PDY_PDML_TRVL_QLF.MC_T_GRAD_CALC_PUISS_DYN_PROF;
PDML_PJ|2|MAILLE_GEO|recuperation des mailles geographiques|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_O_POM_MAILLE_GEO|exec PDY_PDML_TRVL_QLF.MD_T_O_POM_MAILLE_GEO;|exec PDY_PDML_TRVL_QLF.MI_T_O_POM_MAILLE_GEO(:dateDebut,:dateFin,:transactionDate);|exec PDY_PDML_TRVL_QLF.MC_T_O_POM_MAILLE_GEO;
PDML_IDA|3|PAR_PLAGE_PHC_PDYN|identification des PHC premiere heure creuse|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_W_PAR_PLAGE_PHC_PDYN|exec PDY_PDML_TRVL_QLF.MD_T_W_PAR_PLAGE_PHC_PDYN ;|exec PDY_PDML_TRVL_QLF.MI_T_W_PAR_PLAGE_PHC_PDYN ;|exec PDY_PDML_TRVL_QLF.MC_T_W_PAR_PLAGE_PHC_PDYN ;
GRAD_DYN|3|T_GRAD_ADDT_VAR_CALC|Calcul des jours a prendre en compte et ceratine mesures|SQL|teradata-pdml-ihm|PDY_PDML_SOC_QLF.T_GRAD_ADDT_VAR_CALC|exec PDY_PDML_TRVL_QLF.MC_T_GRAD_ADDT_VAR_CALC;|exec PDY_PDML_TRVL_QLF.MI_T_GRAD_ADDT_VAR_CALC(:dateDebut, :dateFin);|exec PDY_PDML_TRVL_QLF.MC_T_GRAD_ADDT_VAR_CALC;
PDML_PJ|3|GEN_POM_INFOS_AUX|Recuperation du type de commune et region administrative|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_GEN_POM_INFOS_AUX|exec PDY_PDML_TRVL_QLF.MD_T_GEN_POM_INFOS_AUX;|exec PDY_PDML_TRVL_QLF.MI_T_GEN_POM_INFOS_AUX(:dateDebut,:dateFin,:transactionDate);|exec PDY_PDML_TRVL_QLF.MC_T_GEN_POM_INFOS_AUX;
